problem_id,problem_title,problem_solved,category,submit_id,user_id,result,memory,time,language,code
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91564043,kevin060729,런타임 에러 (ValueError),,,Python 3,"A = int(input(""A값을 입력하시오:""))

B = int(input(""B값을 입력하시오:""))

result = A + B

print(""A + B :"",result)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91563951,skiteon,컴파일 에러,,,Python 3," A = input(""A"");
    B = input(""B"");
    printf(A+B);
    "
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91563211,tlsgmlcks73,맞았습니다!!,32412,44,Python 3,"a, b = map(int, input().split())

print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91563080,daisybell,런타임 에러 (ValueError),,,Python 3,"A = int(input(''))
B = int(input(''))
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562991,tlsgmlcks73,런타임 에러 (ValueError),,,Python 3,"n1 = int(input())
n2 = int(input())

print(n1 + n2)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562864,daisybell,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562524,kmsms3653,맞았습니다!!,32544,40,Python 3,"A,B= map(int, input().split())
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562449,ynch213,맞았습니다!!,32412,44,Python 3,"a,b = input().split()
print(int(a)+int(b))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562298,ynch213,런타임 에러 (EOFError),,,Python 3,"a=input()
b=input()

print(int(a)+int(b))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562287,ynch213,런타임 에러 (NameError),,,Python 3,"a=intput()
b=input()

print(int(a)+int(b))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562273,ynch213,런타임 에러 (NameError),,,Python 3,"a=intput()
b=input()
print(int(a)+int(b))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562268,squidward_tentacles,맞았습니다!!,32412,40,Python 3,"A,B = input().split()
print(int(A)+int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562239,kmsms3653,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562203,squidward_tentacles,런타임 에러 (NameError),,,Python 3,"A,B = input(),split()
print(int(A)+int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562139,squidward_tentacles,런타임 에러 (NameError),,,Python 3,"A, B = input(),split()
print(int(A)+int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562125,squidward_tentacles,런타임 에러 (NameError),,,Python 3,"A, B = input(), split()
print(int(A)+int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562094,ysk0917,맞았습니다!!,32412,40,Python 3,"A, B = input().split()
print(int(A) + int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562085,ysk0917,컴파일 에러,,,Python 3,"A, B = input().split()
return int(A) + int(B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91562009,squidward_tentacles,런타임 에러 (NameError),,,Python 3,"A, B = map(int, input(), split())
print(A+B)"
